['Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000']
         429340 function calls (414617 primitive calls) in 6.025 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        9    0.000    0.000    0.001    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      852    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.001    0.001 dammit.py:2889(_convert_from)
        1    0.001    0.001    0.001    0.001 dammit.py:2920(_to_unicode)
       62    0.000    0.000    0.001    0.000 client.py:542(_get_chunk_left)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
      510    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
     1204    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      544    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       10    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
       95    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
     4590    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       68    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
     5715    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      594    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
      725    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      408    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
      198    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
      123    0.000    0.000    0.001    0.000 enum.py:841(__and__)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
     3606    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1267    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
       89    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 _markupbase.py:6(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     6360    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
      626    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
        1    0.001    0.001    0.001    0.001 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 request.py:325(__init__)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     3888    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     2202    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      130    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
     5989    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
      726    0.001    0.000    0.001    0.000 socket.py:614(readable)
        1    0.000    0.000    0.001    0.001 request.py:940(AbstractBasicAuthHandler)
     1438    0.000    0.000    0.001    0.000 element.py:1456(get)
        1    0.000    0.000    0.001    0.001 request.py:349(full_url)
     2314    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.001    0.001 request.py:380(_parse)
     1882    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
      146    0.000    0.000    0.001    0.000 util.py:18(lower)
     1986    0.000    0.000    0.000    0.000 element.py:1882(descendants)
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
     1268    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
       18    0.000    0.000    0.000    0.000 abc.py:125(__new__)
       10    0.000    0.000    0.000    0.000 request.py:445(add_handler)
      725    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
       89    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
      793    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
      434    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      308    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       13    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
        1    0.000    0.000    0.000    0.000 client.py:203(parse_headers)
     2259    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        8    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
      255    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
      295    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      594    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      223    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       62    0.000    0.000    0.000    0.000 client.py:512(_read_next_chunk_size)
        1    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
     1287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 element.py:122(ContentMetaAttributeValue)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
      432    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
  145/117    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
